pairwise_dist,pairwise_nearmiss
0.5171472258628221,0.9025775447793796
0.5209698558322412,0.9056356487549148
0.5191131498470948,0.9050895587592837
0.5254477937964176,0.903997378768021
0.5173656618610747,0.9036697247706422
0.5157273918741808,0.9033420707732636
0.515399737876802,0.9012669287898648
0.513652249890782,0.9009392747924856
0.5196592398427261,0.9050895587592834
0.5232634338138925,0.905744866754041
0.5157273918741808,0.9038881607688948
0.519222367846221,0.9022498907820008
0.512778505897772,0.902686762778506
0.5167103538663171,0.9012669287898648
0.5193315858453473,0.9032328527741372
0.5185670598514635,0.9032328527741372
0.5162734818698121,0.9056356487549148
0.5181301878549586,0.9043250327653998
0.5180209698558322,0.9046526867627784
0.5205329838357361,0.9058540847531674
0.5162734818698121,0.9007208387942331
0.5172564438619484,0.9071647007426824
0.5152905198776758,0.9071647007426824
0.5196592398427261,0.903560506771516
0.5160550458715596,0.9024683267802532
0.5210790738313674,0.9068370467453036
0.5145259938837919,0.9020314547837484
0.5175840978593271,0.9025775447793798
0.5168195718654434,0.9060725207514198
0.5173656618610747,0.900611620795107
0.5209698558322412,0.9062909567496724
0.5204237658366098,0.9022498907820008
0.5163826998689384,0.9024683267802532
0.5146352118829183,0.904434250764526
0.5172564438619484,0.9017038007863696
0.5220620358235036,0.9054172127566624
0.521734381826125,0.9034512887723896
0.5186762778505898,0.903560506771516
0.510703363914373,0.9020314547837484
0.5190039318479684,0.9034512887723898
0.5152905198776758,0.9020314547837484
0.5148536478811708,0.904434250764526
0.5190039318479686,0.90607252075142
0.5114678899082569,0.9024683267802536
0.5184578418523372,0.9065093927479247
0.5143075578855395,0.9034512887723898
0.5146352118829183,0.9062909567496724
0.5184578418523372,0.902249890782001
0.5193315858453473,0.902686762778506
0.5188947138488422,0.9042158147662734
0.5160550458715596,0.9038881607688948
0.5175840978593272,0.9038881607688948
0.5158366098733072,0.9015945827872432
0.5183486238532109,0.9042158147662736
0.52217125382263,0.9033420707732636
0.5144167758846658,0.901485364788117
0.5179117518567059,0.9056356487549148
0.5156181738750546,0.9061817387505462
0.5146352118829183,0.9030144167758848
0.5186762778505898,0.902795980777632
0.5125600698995194,0.9006116207951071
0.5164919178680646,0.9055264307557886
0.5119047619047618,0.9041065967671472
0.5170380078636959,0.8994102228047182
0.5184578418523373,0.9065093927479247
0.5205329838357361,0.903997378768021
0.5166011358671908,0.9031236347750108
0.52217125382263,0.9076015727391874
0.5112494539100043,0.9033420707732636
0.5146352118829183,0.9013761467889908
0.522608125819135,0.9062909567496724
0.52217125382263,0.9032328527741372
0.5113586719091305,0.9000655307994757
