corrected_dist,corrected_nearmiss
0.693076923076923,0.925054945054945
0.6924936806242444,0.924057588746016
0.6981214984071186,0.9280456992200372
0.699241508189513,0.9279982411784105
0.6941331575477917,0.926170072511536
0.6950643069143674,0.9255798614927998
0.6891208791208792,0.9247252747252748
0.6920879120879121,0.9241758241758242
0.6958813838550247,0.9263042284459088
0.6968465003845731,0.9267113504010548
0.6941758241758241,0.9273626373626374
0.694945054945055,0.9265934065934066
0.6953846153846154,0.9273626373626374
0.6982313523014391,0.9282654070086784
0.6922569291684998,0.9243290805103388
0.695757309298747,0.9284458122664322
0.6949022192924632,0.9286969896725994
0.6961441283093486,0.9269471602768318
0.6931106471816284,0.925392813976486
0.6992638171629492,0.9293484232501924
0.6922400527588481,0.9250384699934052
0.6957953672192337,0.9264463717202768
0.6958003518029904,0.9282102022867196
0.6918259723137772,0.923753021313997
0.6978583196046129,0.928171334431631
0.6955040123117511,0.925360008794108
0.6933391954275665,0.9252582985271488
0.6940814757878555,0.926759635445262
0.6943101933216169,0.9253075571177504
0.6975159375686965,0.9273466695977138
0.6959674761015273,0.9260520821887704
0.6954515491100857,0.9263898044385848
0.6896627485444359,0.9250796440733824
0.697032967032967,0.9267032967032968
0.6939806678383128,0.9254173989455184
0.6944200351493849,0.9269551845342706
0.6958191594425546,0.9280149237353232
0.6909630606860159,0.925461741424802
0.6950120852559877,0.9273785981103054
0.6937184274104986,0.9265319569514606
0.6957907462358501,0.928673480602264
0.6953700648850765,0.9255471241614428
0.6945969690314079,0.925763233033165
0.6960536440584808,0.9266791249862592
0.6932117750439367,0.9257469244288224
0.6944719199912078,0.92636553467414
0.6934651290499726,0.9248764415156508
0.693837196528617,0.9260683291222672
0.6976054481546573,0.9264059753954306
0.6925864909390445,0.9252059308072488
0.6943101933216169,0.9268453427065028
0.6965835438866308,0.9288146764802812
0.6942766121058992,0.9267274524881908
0.6952841596130592,0.9256897878421456
0.690964979690416,0.9243605225601054
0.6930344979125467,0.926609536365634
0.6923415009339633,0.926601472365674
0.6948258815775019,0.9238712512358564
0.6960008789277082,0.9282575258185014
0.6988904756673624,0.9274964297484346
0.6929583653740525,0.925409205756344
0.7002748763056624,0.9299615173172072
0.6915559459756232,0.9259909959371913
0.6931530937465655,0.9252665128036048
0.699901174920391,0.9288459426814538
0.6976718647045904,0.926751592356688
0.689264915943303,0.9237446434457752
0.6895037329819939,0.9242424242424242
0.6906751704420497,0.9242357598416538
0.6958672235656188,0.92591778412838
0.6918086860912589,0.9263331500824628
0.691089108910891,0.924972497249725
0.6941422134300472,0.9297725024727992
0.6898636763412489,0.9263412489006156
0.6962637362637363,0.927032967032967
0.6975722289355157,0.9271668680654728
0.6958575980661466,0.925832326118009
0.6873558167637043,0.9231022739756124
0.6981858163826278,0.9284222100054976
0.6918176825919824,0.9254255903349808
0.6982085943510276,0.9284536762281568
0.6940232915842672,0.927268732146781
0.6954370533260033,0.925893347993403
0.6976080754882599,0.9280228220320388
0.6922400527588481,0.9236095845240712
0.6982417582417583,0.9273626373626374
0.6949264221392488,0.9266417746540744
0.6939470504229375,0.9265077446995496
0.6992084432717678,0.9289797713280564
0.6953656929497035,0.9269712277619152
0.6976258518355682,0.9284458122664322
0.6951554432604636,0.9260683291222672
0.697286012526096,0.9259422041533898
0.6959533758522103,0.9272047503848692
0.6932030306357747,0.9276380805973428
0.6929159802306425,0.9253157605711148
0.6912766424961547,0.9245220830586685
0.6929592959295929,0.9243124312431245
0.699010989010989,0.9276923076923076
0.6945298769771528,0.9265158172231986
0.6943193055708164,0.9257224480826284
0.6965502087453307,0.9267194023291584
0.691682232721679,0.9237446434457752
0.6947680808969005,0.9254781270608924
0.6976258518355682,0.9280061551989448
0.6971095724804923,0.928673480602264
0.6976386600768808,0.9260845689181768
0.6953846153846154,0.9271428571428572
0.6904657293497364,0.9249780316344464
0.6979784662711492,0.92748846407383
0.6918936731107206,0.9261862917398944
0.6970995385629531,0.9269391342562074
0.6953751510491047,0.9274964297484346
0.703768816613559,0.9313262278870452
0.6967933230836811,0.927959587085438
0.6958383660920171,0.9262106072252114
0.693246810382754,0.9243290805103388
0.6942185095625412,0.9249285557265332
0.699010989010989,0.9294505494505496
0.6925441967717141,0.926869441089272
0.6949785737831008,0.926271838259532
0.6931455605677193,0.9254043349103312
0.6962873462214412,0.9290421792618628
0.6946640316205533,0.9277558190601668
0.6986813186813187,0.9276923076923076
0.695045589366143,0.927386575854114
0.69433465085639,0.9255599472990778
0.6947345278663296,0.9243706716499944
0.697112745636184,0.9262268086507848
0.695580474934037,0.9257915567282322
0.6948444542156755,0.9277783884797186
0.6960913482652613,0.928524374176548
0.6956999890025294,0.9260969976905312
0.6948201913559882,0.9275266688661608
0.6950697265839464,0.9273086636653124
0.6959147814627717,0.9269712277619152
0.6972094045264777,0.928806855636124
0.7024502801889903,0.9312163498516648
0.6949879094306441,0.92712684106397
0.6929332893724585,0.9254863171777118
0.6968231285039024,0.9283280202264482
0.6947866256049274,0.9286185657721072
0.6979349736379613,0.9290421792618628
0.6962108731466228,0.9269632070291048
0.6961538461538461,0.925934065934066
0.6914963744232037,0.926170072511536
0.6949879094306441,0.925148384260277
0.697789508413065,0.9273067194545256
0.6949692442882249,0.9251977152899824
0.6910649521925486,0.9246070996812836
0.6971660808435852,0.9284929701230228
