index,Path,MD5Hash,count,basename,scorer1,scorer2,scorer3
79,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Beta/DSC_9240.TIF,e99f0357453fe9e3c50b36c5351fa93e,30,DSC_9240.TIF,Adam,Mark,Emma
80,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Beta/DSC_9241.TIF,ce1510d2d868f54e4414d59143c7fd30,30,DSC_9241.TIF,Adam,Mark,Emma
102,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/repeat2/5/DSC_0215.TIF,99c7d47c7d0be9655388117eda61d337,30,DSC_0215.TIF,Adam,Mark,Emma
105,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/repeat2/6/DSC_0218.TIF,9e4afd7901540113239e29169ffb55d9,30,DSC_0218.TIF,Adam,Mark,Emma
50,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/2/DSC_3611.tif,c15e3eb466a8d61a348f82c399b2a8c1,30,DSC_3611.tif,Adam,Mark,Emma
46,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/1/_DSC0768.tif,7bd11af2175e4823c77cc969e67ac9d9,30,_DSC0768.tif,Adam,Mark,Emma
68,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/A/HMAswap/PM/3/_DSC1334.TIF,76ff7c86b93736a160da45a29d310d79,30,_DSC1334.TIF,Adam,Mark,Emma
65,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/A/HMAswap/PM/1/_DSC1017.TIF,10c9571d4cd6e8145f0e9de191d389d9,30,_DSC1017.TIF,Adam,Mark,Emma
27,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/M1R5_M1APB_D_scoring/22-09-2021-images/_DSC9258.tif,7ca0f65f02822a1d177fd00c4ebbc40c,80,_DSC9258.tif,Adam,Mark,Emma
45,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/1/_DSC0767.tif,ffd945659e7a96c1419ecdccb0a9df25,30,_DSC0767.tif,Yuxuan,Adam,Mark
74,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Beta/DSC_9235.TIF,b3a6a29525e65e97104c53669cb464e6,30,DSC_9235.TIF,Yuxuan,Adam,Mark
88,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Repeat1/4/DSC_0109.TIF,e4ee1f7c9a19ec4ae3b3c1c4b05a4bf1,30,DSC_0109.TIF,Yuxuan,Adam,Mark
97,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/repeat2/2/DSC_0210.TIF,61c989e7e915c592802e6a0f53ad5fe4,30,DSC_0210.TIF,Yuxuan,Adam,Mark
26,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/M1R5_M1APB_D_scoring/21-01-2022-images/_DSC1804.tif,b7f4cd21898a782b25bf7104fbdfefb4,128,_DSC1804.tif,Yuxuan,Adam,Mark
98,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/repeat2/3/DSC_0211.TIF,76280266f4ddd14a3828b7f9b9b15cef,30,DSC_0211.TIF,Yuxuan,Adam,Mark
51,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/2/DSC_3612.tif,cce2ef3f82620206b3a868f9beacc25c,30,DSC_3612.tif,Yuxuan,Adam,Mark
53,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/2/DSC_3614.tif,611b2277a171c7680b417225680b4fcc,30,DSC_3614.tif,Yuxuan,Adam,Mark
73,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Beta/DSC_9234.TIF,cad5a6263ab53330b857ba330bb19568,30,DSC_9234.TIF,Yuxuan,Adam,Mark
72,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Beta/DSC_9233.TIF,0314e1f4dac851fa06c21a64d1658cc0,30,DSC_9233.TIF,Yuxuan,Adam,Mark
92,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Repeat1/6/DSC_0113.TIF,523370616b60a8a24395e6776142bc35,30,DSC_0113.TIF,Yuxuan,Adam,Mark
47,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/1/_DSC0769.tif,1aac66f82dadddbe421fbd7531416f75,30,_DSC0769.tif,Yuxuan,Adam,Mark
75,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Beta/DSC_9236.TIF,809b53b5da25b08799bb7d9c82d8d177,30,DSC_9236.TIF,Yuxuan,Adam,Mark
49,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/1/_DSC0771.tif,a1f3f730aa9c26095959e201773f2f5e,30,_DSC0771.tif,Raf,Yuxuan,Adam
44,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/1/_DSC0766.tif,c2f0e73ca47495290cb619848cd51270,30,_DSC0766.tif,Raf,Yuxuan,Adam
60,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/A/HMAswap/MP/2/_DSC1157.TIF,94f83576380782f95f125b7a9c4da40a,30,_DSC1157.TIF,Raf,Yuxuan,Adam
40,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/M1RGA5_M1APB_APia_scoring/211028-images/_DSC9857.tif,34d4477dccaa26a8272e67d6abc6cc17,20,_DSC9857.tif,Raf,Yuxuan,Adam
94,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/repeat2/1/DSC_0207.TIF,33f966ad2b1f92f02179be4b7dd9e797,30,DSC_0207.TIF,Raf,Yuxuan,Adam
69,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/A/HMAswap/PM/3/_DSC1335.TIF,3fd6993d3df863bc3664a449efe84b85,30,_DSC1335.TIF,Raf,Yuxuan,Adam
28,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/M1R5_M1APB_D_scoring/22-09-2021-images/_DSC9259.tif,31618178d84ec7f9de8209c466c4fcfb,80,_DSC9259.tif,Raf,Yuxuan,Adam
66,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/A/HMAswap/PM/2/_DSC1159.TIF,9fa42e2e485f9b9f166123012f6c358a,30,_DSC1159.TIF,Raf,Yuxuan,Adam
77,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Beta/DSC_9238.TIF,0bbecac84f44ce03bb1a6ab5ff318bf7,30,DSC_9238.TIF,Raf,Yuxuan,Adam
85,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Repeat1/2/DSC_0106.TIF,494b651b8857d17c59d68cc94f6309f6,30,DSC_0106.TIF,Raf,Yuxuan,Adam
71,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Beta/DSC_9232.TIF,9f2cd426348ff26cdb64e1950cbed0e8,30,DSC_9232.TIF,Raf,Yuxuan,Adam
93,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Repeat1/6/DSC_0114.TIF,55ae81fdbdada219b722662669747b19,30,DSC_0114.TIF,Raf,Yuxuan,Adam
